"","indv","sample","counts_in_peaks","dedup_reads","FRiP_6"
"1","Ind6","71DA24h",9970531,25938306,38.4394069527902
"2","Ind6","71DA3h",4277719,29611060,14.4463555171615
"3","Ind6","71DX24h",6338419,18070632,35.0758014440225
"4","Ind6","71DX3h",3847722,23632420,16.2815403585414
"5","Ind6","71E24h",6114047,17335200,35.2695498177119
"6","Ind6","71E3h",3653325,25378234,14.3955052191575
"7","Ind6","71M24h",3182783,26140848,12.1755154997267
"8","Ind6","71M3h",7133455,23624888,30.1946616635812
"9","Ind6","71T24h",3785930,17278728,21.9109300175337
"10","Ind6","71T3h",2625847,20269094,12.954930299302
"11","Ind6","71V24h",5612063,20922744,26.8227867243417
"12","Ind6","71V3h",4753827,19449074,24.4424336089214
