"","indv","sample","counts_in_peaks","dedup_reads","FRiP_4"
"1","Ind4","79DA24h",2151755,17862648,12.0461143275062
"2","Ind4","79DA3h",3962220,26487126,14.9590408563013
"3","Ind4","79DX24h",2765070,11544950,23.9504718513289
"4","Ind4","79DX3h",1914499,18908344,10.1251542705168
"5","Ind4","79E24h",2294847,12495788,18.3649642583565
"6","Ind4","79E3h",2826759,19109612,14.7923411527141
"7","Ind4","79M24h",1052801,9894182,10.6406067727479
"8","Ind4","79M3h",1005975,16384910,6.13964312284901
"9","Ind4","79T24h",535984,8948490,5.98965859044375
"10","Ind4","79T3h",1314076,28930176,4.54223299574811
"11","Ind4","79V24h",909760,10276972,8.85241294809405
"12","Ind4","79V3h",645565,25112288,2.57071358850297
