"","indv","sample","counts_in_peaks","dedup_reads","FRiP_5"
"1","Ind5","78DA24h",1495948,15985676,9.35805279676631
"2","Ind5","78DA3h",4119185,19301222,21.3415761965745
"3","Ind5","78DX24h",1966460,13718342,14.3345310971253
"4","Ind5","78DX3h",2645080,16753844,15.7878991830173
"5","Ind5","78E24h",2206629,16872182,13.0785040132924
"6","Ind5","78E3h",3511745,15019734,23.3808734562143
"7","Ind5","78M24h",843687,21133380,3.99220096359409
"8","Ind5","78M3h",6475547,16100264,40.2201293096809
"9","Ind5","78T24h",739687,14776178,5.0059426734031
"10","Ind5","78T3h",1599972,10123244,15.8049336754108
"11","Ind5","78V24h",1177844,10088962,11.674580596101
"12","Ind5","78V3h",855884,11067518,7.73329666145562
