"","indv","sample","counts_in_peaks","dedup_reads","FRiP_2"
"1","Ind2","87DA24h",9721640,29862542,32.5546298101481
"2","Ind2","87DA3h",10450000,33518302,31.176996973176
"3","Ind2","87DX24h",8372022,28145618,29.7453834554281
"4","Ind2","87DX3h",8365821,29633114,28.2313259416476
"5","Ind2","87E24h",7716137,26866466,28.7203274148524
"6","Ind2","87E3h",10431267,36723324,28.4050185653129
"7","Ind2","87M24h",8942122,33827912,26.4341529562924
"8","Ind2","87M3h",17283637,40556564,42.6161274411708
"9","Ind2","87T24h",9061348,22302276,40.6297007534119
"10","Ind2","87T3h",8562153,24758586,34.5825605711085
"11","Ind2","87V24h",8704014,20674790,42.099648896071
"12","Ind2","87V3h",7357966,32184480,22.8618452123508
