"","indv","sample","counts_in_peaks","dedup_reads","FRiP_3"
"1","Ind3","77DA24h",6719474,21869650,30.7251099125958
"2","Ind3","77DA3h",8685493,34279586,25.3372167330142
"3","Ind3","77DX24h",5717628,19207264,29.7680502543204
"4","Ind3","77DX3h",4280671,18957010,22.5809397157041
"5","Ind3","77E24h",5898573,18551820,31.795117675786
"6","Ind3","77E3h",4897028,25465236,19.2302478563325
"7","Ind3","77M24h",4958167,21749104,22.7971092510294
"8","Ind3","77M3h",8281163,24872086,33.2950079056497
"9","Ind3","77T24h",4621694,17397726,26.5649315318565
"10","Ind3","77T3h",4594277,16008756,28.6985259816565
"11","Ind3","77V24h",2131879,7986090,26.6949032630486
"12","Ind3","77V3h",2723346,18970988,14.3553198178187
